,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
49,0.4588,0.0,0.786,0.214,03-05-2018 16:24:14,Oscars 2018: Four things to take away from this year's awards https://t.co/zrAqXIJCpk,49,@BBCWorld
50,0.0,0.0,1.0,0.0,03-05-2018 10:40:32,Oscars 2018: Why is everyone talking about this outfit? https://t.co/WRk14BAtkC,50,@BBCWorld
51,0.836,0.0,0.669,0.331,03-05-2018 04:15:24,"RT @BBCBreaking: #Oscars 

Guillermo Del Toro wins Best Director for The Shape of Water

Live #Oscars2018 coverage: https://t.co/dlCCu0XrFs…",51,@BBCWorld
52,0.0,0.0,1.0,0.0,03-05-2018 01:35:29,Notre-Dame: Cracks in the cathedral https://t.co/mrzZEpv7np,52,@BBCWorld
53,0.4588,0.0,0.875,0.125,03-04-2018 15:48:47,"What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why th… https://t.co/nDFmeKOnUY",53,@BBCWorld
54,0.0,0.0,1.0,0.0,03-04-2018 00:53:57,'Two sessions' https://t.co/J8MxzH9Bpe,54,@BBCWorld
55,-0.7964,0.504,0.496,0.0,03-03-2018 12:03:07,Slovakia journalist murder: Seven suspects released by police https://t.co/3DNjgtht5h,55,@BBCWorld
56,-0.6249,0.313,0.687,0.0,03-03-2018 00:24:43,Venezuelan cash crisis: Where a coffee costs wads of banknotes https://t.co/1b1vvcEjBo,56,@BBCWorld
57,-0.3818,0.245,0.755,0.0,03-02-2018 11:26:44,Ireland shut as severe weather continues in Europe https://t.co/hcJ1kJg3MP,57,@BBCWorld
58,0.0258,0.0,0.901,0.099,03-02-2018 01:28:08,Italy general election vote: Who's who and why it matters https://t.co/loOpD7oSaa,58,@BBCWorld
59,0.3612,0.0,0.894,0.106,03-01-2018 17:42:19,"RT @BBCBreaking: President Trump to sign off on steep tariffs on steel and aluminium imports next week, hitting producers like China https:…",59,@BBCWorld
60,0.2023,0.0,0.816,0.184,03-01-2018 11:53:13,Tarantulas: Canada becomes top exporter of Mexican pet https://t.co/1iabjwPr5D,60,@BBCWorld
61,-0.5106,0.417,0.583,0.0,03-01-2018 00:53:18,Fight or flight - would you confront a gunman? https://t.co/x1wS7qFl3b,61,@BBCWorld
62,0.0,0.0,1.0,0.0,02-28-2018 17:10:09,Oakland Mayor Libby Schaaf defends immigration raid tip-off https://t.co/1AcwGHPfcR,62,@BBCWorld
63,0.0,0.0,1.0,0.0,02-28-2018 11:54:55,EU suggests 'common area' across Northern Ireland border https://t.co/Hw8dzqdDK0,63,@BBCWorld
64,-0.3818,0.245,0.755,0.0,02-28-2018 05:36:32,Venezuela opposition expels Henri Falcón over poll decision https://t.co/DI5lbFaKCs,64,@BBCWorld
65,0.0,0.0,1.0,0.0,02-27-2018 23:43:20,Police dog catches carjacker after wild chase in LA https://t.co/lQZ4XO2UHS,65,@BBCWorld
66,-0.4404,0.206,0.794,0.0,02-27-2018 15:57:14,"RT @BBCNews: ❄️ Snow and freezing temperatures are causing disruption across the UK ❄️ 

https://t.co/QlqfKpTjNl #beastfromtheeast https://…",66,@BBCWorld
67,0.0,0.0,1.0,0.0,02-27-2018 07:49:11,"RT @BBCBenThompson: On the show today, we'll have latest on #Comcast bid for #Sky but we're also asking whether social media ads reel you i…",67,@BBCWorld
68,0.0,0.0,1.0,0.0,02-26-2018 23:06:52,Inside an IDF counter-terror training exercise https://t.co/4j5QH6fbwV,68,@BBCWorld
69,-0.4788,0.209,0.712,0.079,02-26-2018 14:56:04,"""Being blind cannot stop you from being successful."" 

When Ronald Dlamini lost his sight it ended his MMA sporting… https://t.co/FjKXR6hWhW",69,@BBCWorld
70,0.0,0.0,1.0,0.0,02-26-2018 08:00:36,RT @SallyBundockBBC: Smartphone sales are in decline. In #BBCBizLive we'll have the latest from @ruskin147 who is at the #MobileWorldCongre…,70,@BBCWorld
71,-0.6124,0.357,0.643,0.0,02-25-2018 21:05:31,Turkish women sentenced to death in Iraq for IS links https://t.co/LUxz777FNd,71,@BBCWorld
72,-0.8074,0.436,0.474,0.09,02-25-2018 02:22:34,Winter Olympics: IOC board recommends lifting Russia ban if no further doping violations https://t.co/r7RDwCyDDY,72,@BBCWorld
73,-0.9022,0.613,0.387,0.0,02-24-2018 14:10:36,Syria war: Air strikes in Eastern Ghouta 'kill 500' https://t.co/fh8pD0u6jZ,73,@BBCWorld
74,0.0,0.0,1.0,0.0,02-24-2018 00:15:36,Deaf Eritrean twins break barriers in fashion world https://t.co/SvoyppLVCB,74,@BBCWorld
75,-0.5719,0.171,0.829,0.0,02-23-2018 16:17:12,"""It's time to make our schools a much harder target for attackers"" - President Trump speaks about arming some teach… https://t.co/VGTVOweafS",75,@BBCWorld
76,-0.8176,0.306,0.694,0.0,02-23-2018 13:11:12,RT @BBCSport: A police officer has died in Spain following violent clashes between Athletic Bilbao &amp; Spartak Moscow fans 👉 https://t.co/3DZ…,76,@BBCWorld
77,0.0,0.0,1.0,0.0,02-23-2018 02:51:38,Europa League: Police officer dies in clashes before Athletic Bilbao v Spartak Moscow https://t.co/SrQFkE8Mic,77,@BBCWorld
78,0.0,0.0,1.0,0.0,02-22-2018 16:24:17,Porn on computer: Court finds against French worker over privacy https://t.co/iNyCesPuSt,78,@BBCWorld
79,-0.4215,0.352,0.648,0.0,02-22-2018 12:30:37,'Weird world I was warned never to tell about' https://t.co/uatneORBkI,79,@BBCWorld
80,-0.8271,0.592,0.408,0.0,02-22-2018 06:49:50,"Fear war looms over Syria neighbours, Iran says https://t.co/dl2itNxWSq",80,@BBCWorld
81,0.2023,0.0,0.795,0.205,02-21-2018 22:06:00,Netanyahu aide 'agrees to turn state's witness' https://t.co/5HzoAKYF7g,81,@BBCWorld
82,-0.128,0.126,0.773,0.101,02-21-2018 14:28:56,"Billy Graham became a committed Christian at 16 and preached at his final revival meeting at 86 

Obituary:… https://t.co/fkd2BynFEz",82,@BBCWorld
83,-0.34,0.231,0.769,0.0,02-21-2018 08:17:00,Florida shooting survivors rally for stricter gun controls https://t.co/NsXZu2m0T5,83,@BBCWorld
84,0.3818,0.0,0.885,0.115,02-20-2018 23:03:46,"Watch our stunning 360 degree video of the Nile, from the BBC’s first virtual reality documentary. For the full fil… https://t.co/7YLQeczWJz",84,@BBCWorld
85,0.1243,0.139,0.694,0.167,02-20-2018 15:10:13,RT @bbcweather: Very cool caves from the land of ice and fire! LH https://t.co/aUdwYpaJaj,85,@BBCWorld
86,0.7351,0.0,0.677,0.323,02-20-2018 10:45:40,Winter Olympics: Canada's Tessa Virtue &amp; Scott Moir ice dance champions for second time https://t.co/9ZhbfxJxv4,86,@BBCWorld
87,0.0,0.0,1.0,0.0,02-20-2018 00:53:57,Jeffrey Kong: Singapore's Lego brick artist https://t.co/QDYzBPrQeb,87,@BBCWorld
88,0.658,0.0,0.813,0.187,02-19-2018 14:51:24,"RT @BBCSport: It's another gold for Norway! 🇳🇴🏅

They win the men's team final in ski jumping!

https://t.co/Ruye08zH9R  
#bbcolympics
#Pye…",88,@BBCWorld
89,0.0,0.0,1.0,0.0,02-19-2018 10:37:07,"Wreckage of crashed Iran plane found, reports say https://t.co/FhsuR2slwV",89,@BBCWorld
